epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.5121,1.8729,0.59579,0.97453,1.54479,0.000902114,0.000300705,0.000902114,0.000300705,0.000902114,0.000300705,0.000902114,0.000300705
2,101.815,1.21247,0.90698,0.99668,0.71152,0.00179617,0.000598724,0.00179617,0.000598724,0.00179617,0.000598724,0.00179617,0.000598724
3,143.16,0.60309,0.94684,0.99668,0.25613,0.00267523,0.000891744,0.00267523,0.000891744,0.00267523,0.000891744,0.00267523,0.000891744
4,184.461,0.29072,0.96235,0.99668,0.13127,0.00265951,0.000886502,0.00265951,0.000886502,0.00265951,0.000886502,0.00265951,0.000886502
5,226.095,0.17773,0.97231,0.99668,0.10224,0.00263701,0.000879003,0.00263701,0.000879003,0.00263701,0.000879003,0.00263701,0.000879003
6,267.523,0.1302,0.97231,0.99779,0.08435,0.00261451,0.000871504,0.00261451,0.000871504,0.00261451,0.000871504,0.00261451,0.000871504
7,308.791,0.10295,0.97564,1,0.07354,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
8,350.074,0.08442,0.98007,1,0.09076,0.00256952,0.000856505,0.00256952,0.000856505,0.00256952,0.000856505,0.00256952,0.000856505
9,391.562,0.06507,0.97896,1,0.05964,0.00254702,0.000849006,0.00254702,0.000849006,0.00254702,0.000849006,0.00254702,0.000849006
10,463.295,0.05913,0.98007,1,0.05657,0.00252452,0.000841507,0.00252452,0.000841507,0.00252452,0.000841507,0.00252452,0.000841507
11,523.932,0.0494,0.97896,1,0.05603,0.00250202,0.000834007,0.00250202,0.000834007,0.00250202,0.000834007,0.00250202,0.000834007
12,577.203,0.04469,0.97896,1,0.05836,0.00247952,0.000826508,0.00247952,0.000826508,0.00247952,0.000826508,0.00247952,0.000826508
13,619.708,0.04223,0.98007,1,0.05318,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
14,663.476,0.03144,0.98117,1,0.05258,0.00243453,0.00081151,0.00243453,0.00081151,0.00243453,0.00081151,0.00243453,0.00081151
15,705.663,0.02908,0.98117,1,0.04984,0.00241203,0.00080401,0.00241203,0.00080401,0.00241203,0.00080401,0.00241203,0.00080401
16,748.843,0.02644,0.98228,1,0.05132,0.00238953,0.000796511,0.00238953,0.000796511,0.00238953,0.000796511,0.00238953,0.000796511
17,792.567,0.02024,0.98228,1,0.06864,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012
18,840.29,0.02377,0.98228,1,0.04908,0.00234454,0.000781513,0.00234454,0.000781513,0.00234454,0.000781513,0.00234454,0.000781513
19,893.49,0.02126,0.98228,1,0.04769,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
20,936.46,0.02081,0.98117,1,0.05007,0.00229954,0.000766514,0.00229954,0.000766514,0.00229954,0.000766514,0.00229954,0.000766514
21,978.772,0.02119,0.98117,1,0.05167,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015
22,1021.34,0.01991,0.98228,1,0.05098,0.00225455,0.000751516,0.00225455,0.000751516,0.00225455,0.000751516,0.00225455,0.000751516
23,1065.11,0.01734,0.98228,1,0.04984,0.00223205,0.000744016,0.00223205,0.000744016,0.00223205,0.000744016,0.00223205,0.000744016
24,1112.11,0.01398,0.98228,1,0.05361,0.00220955,0.000736517,0.00220955,0.000736517,0.00220955,0.000736517,0.00220955,0.000736517
25,1166.53,0.01536,0.9845,1,0.05225,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
26,1214.69,0.01745,0.98117,1,0.05188,0.00216456,0.000721519,0.00216456,0.000721519,0.00216456,0.000721519,0.00216456,0.000721519
27,1257.09,0.01577,0.98228,1,0.05464,0.00214206,0.000714019,0.00214206,0.000714019,0.00214206,0.000714019,0.00214206,0.000714019
28,1303.76,0.00997,0.98228,1,0.05457,0.00211956,0.00070652,0.00211956,0.00070652,0.00211956,0.00070652,0.00211956,0.00070652
29,1351.58,0.01472,0.98228,1,0.09686,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021
30,1398.89,0.01049,0.98228,1,0.05673,0.00207457,0.000691522,0.00207457,0.000691522,0.00207457,0.000691522,0.00207457,0.000691522
31,1443.52,0.01214,0.98339,1,0.05157,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
32,1485.22,0.01247,0.98339,1,0.05186,0.00202957,0.000676523,0.00202957,0.000676523,0.00202957,0.000676523,0.00202957,0.000676523
33,1527.78,0.01015,0.98117,1,0.05313,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024
34,1570.19,0.0134,0.98117,1,0.05443,0.00198457,0.000661525,0.00198457,0.000661525,0.00198457,0.000661525,0.00198457,0.000661525
35,1612.5,0.00733,0.98228,1,0.05221,0.00196208,0.000654025,0.00196208,0.000654025,0.00196208,0.000654025,0.00196208,0.000654025
36,1659.53,0.00691,0.98007,1,0.05465,0.00193958,0.000646526,0.00193958,0.000646526,0.00193958,0.000646526,0.00193958,0.000646526
