epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.2101,1.01222,3.68409,1.48736,0.44755,0.16667,0.28744,0.23853,0.64337,3.36755,1.29902,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05,5.001e-05,1.667e-05
2,13.5483,0.83153,3.3979,1.30783,0.42555,0.16667,0.2758,0.23181,0.648,3.41712,1.31762,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05,0.000145079,4.83597e-05
3,18.3559,1.00809,3.67811,1.50475,0.386,0.16667,0.26889,0.22633,0.64243,3.4632,1.30786,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05,0.000233547,7.78489e-05
4,28.4569,0.95954,3.81098,1.47691,0.24059,0.16667,0.26551,0.22415,0.64086,3.48436,1.29569,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138,0.000315413,0.000105138
5,36.3002,1.18298,3.50964,1.54961,0.23147,0.25,0.27499,0.23299,0.64086,3.47347,1.2906,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226,0.000390678,0.000130226
6,43.7214,0.81336,3.54396,1.34315,0.22014,0.25,0.20271,0.16447,0.66267,3.43516,1.30533,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114,0.000459342,0.000153114
7,51.4333,1.00238,3.52134,1.47886,0.17645,0.66667,0.22725,0.18588,0.67564,3.37625,1.29387,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801,0.000521404,0.000173801
8,58.8458,0.8075,3.12164,1.24778,0.25897,0.83333,0.2682,0.20942,0.68703,3.26285,1.29675,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288,0.000576865,0.000192288
9,66.8661,0.95279,3.38365,1.34049,0.26875,0.83333,0.30258,0.23634,0.69525,3.16466,1.30393,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575,0.000625725,0.000208575
10,75.0804,0.82577,3.09543,1.37521,0.23203,0.58333,0.33768,0.26734,0.69517,3.11275,1.30069,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661,0.000667984,0.000222661
11,82.2237,0.69274,3.19554,1.28044,0.37314,0.58217,0.43571,0.34603,0.73327,3.0202,1.32484,0.000703641,0.000234547,0.000703641,0.000234547,0.000703641,0.000234547,0.000703641,0.000234547
12,90.345,0.63365,2.77951,1.20602,0.45059,0.57466,0.44271,0.35743,0.74528,2.89754,1.32628,0.000732697,0.000244232,0.000732697,0.000244232,0.000732697,0.000244232,0.000732697,0.000244232
13,99.1816,0.71988,2.79882,1.27592,0.48152,0.58333,0.44968,0.36355,0.72512,2.77542,1.31419,0.000755151,0.000251717,0.000755151,0.000251717,0.000755151,0.000251717,0.000755151,0.000251717
